"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CLARKSVILLE",2809384,TRUE,2022,FALSE,TRUE
"BODINE",1160396,TRUE,2009,FALSE,TRUE
"CAPTINA",488530,TRUE,2006,FALSE,TRUE
"TONTI",452063,TRUE,2006,FALSE,TRUE
"PINEVILLE",438510,FALSE,2003,FALSE,TRUE
"WRIGHTSVILLE",412215,TRUE,2006,TRUE,FALSE
"CHRISTIAN",297497,FALSE,2001,FALSE,TRUE
"ORISKANY",248216,FALSE,2008,TRUE,FALSE
"CLOVERLICK",228175,FALSE,2011,FALSE,TRUE
"SECESH",215324,FALSE,1997,FALSE,TRUE
"SOCO",189881,FALSE,2001,FALSE,TRUE
"CEDARCREEK",180984,FALSE,2000,FALSE,TRUE
"TALLADEGA",157144,FALSE,2001,FALSE,TRUE
"OMULGA",129822,FALSE,2009,TRUE,FALSE
"STECOAH",95927,FALSE,2001,FALSE,TRUE
"FIVEBLOCK",92630,FALSE,2000,FALSE,TRUE
"SIDELING",77864,FALSE,2001,FALSE,TRUE
"PAILO",74837,FALSE,2002,FALSE,TRUE
"THURMONT",74572,FALSE,2008,FALSE,TRUE
"NEWBERN",73692,FALSE,1998,FALSE,TRUE
"LODI",66649,TRUE,2010,FALSE,TRUE
"SWISS",54161,FALSE,2022,FALSE,TRUE
"DELASSUS",40356,FALSE,1998,FALSE,TRUE
"KNOBBY",34640,FALSE,1997,FALSE,TRUE
"PATE",32343,FALSE,2006,FALSE,TRUE
"BAILEGAP",31867,FALSE,2002,FALSE,TRUE
"TREVLAC",30796,FALSE,2003,FALSE,TRUE
"JAY",27669,FALSE,2000,TRUE,TRUE
"STOKLY",26508,FALSE,2005,TRUE,TRUE
"LEW",26441,FALSE,1997,FALSE,TRUE
"BEECH GROVE",23364,FALSE,2002,TRUE,FALSE
"ELBERT",23220,FALSE,1997,FALSE,TRUE
"ROME",20963,FALSE,2003,FALSE,TRUE
"ROCKCASTLE",18947,FALSE,2001,TRUE,TRUE
"WURNO",18390,TRUE,1998,FALSE,TRUE
"DRYPOND",15436,FALSE,2003,TRUE,FALSE
"AMWELL",15244,FALSE,2005,FALSE,TRUE
"MT. ZION",15236,FALSE,2002,FALSE,TRUE
"RAVENROCK",15090,FALSE,2002,FALSE,TRUE
"GATTON",14523,FALSE,2003,TRUE,TRUE
"SWAFFORD",12893,FALSE,2001,FALSE,TRUE
"BRENTSVILLE",8755,FALSE,1997,FALSE,TRUE
"CHENAULT",8045,FALSE,2006,FALSE,TRUE
"SWIMLEY",7004,FALSE,2005,FALSE,TRUE
"BURKITTSVILLE",6348,FALSE,2009,FALSE,TRUE
"CATLETT",5178,FALSE,2004,FALSE,TRUE
"GRANDGULF",5142,FALSE,2006,FALSE,TRUE
"RED HILLS",4713,FALSE,2006,TRUE,FALSE
"BUCKTON",4271,FALSE,2005,FALSE,TRUE
"GOLDVEIN",3993,FALSE,2003,FALSE,TRUE
"BUCKEYSTOWN",3060,FALSE,2004,FALSE,TRUE
"CALVERTON",2588,FALSE,2005,FALSE,TRUE
"CARDOVA",1285,FALSE,2016,TRUE,FALSE
"ALDERFLATS",529,FALSE,2006,FALSE,TRUE
"BEARKNOB",189,FALSE,2013,TRUE,FALSE
"DRAYKE",NA,FALSE,2022,FALSE,TRUE
