"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ALAMUCHEE","Bwl",13,33,NA,NA,NA,"10YR","4","4"
"BAHIAHONDA","Cgl",89,173,NA,NA,NA,"10YR","8","1"
"BENNDALE","Btl",13,28,NA,NA,NA,"10YR","5","6"
"BLICHTON","Btvgl",76,114,NA,NA,NA,"N","4","0"
"BRIGHTON","Oap",0,30,NA,NA,NA,"l0YR","2","1"
"DEMORY","0a",0,8,NA,NA,NA,"10YR","2","1"
"EATON","Btgl",76,84,NA,NA,NA,"10YR","5","1"
"EUREKA","Btgl",28,51,NA,NA,NA,"N","5","0"
"FREELAND","Btl",33,51,NA,NA,NA,"10YR","4","4"
"GRIFFITH","Al",25,56,NA,NA,NA,"5Y","3","1"
"KEYESPOINT","Bgl",18,46,NA,NA,NA,"10YR","4","2"
"LEDWITH","0a",0,23,NA,NA,NA,"10YR","3","3"
"MCLAURIN","Btl",36,51,NA,NA,NA,"5YR","5","6"
"NATCHEZ","0i",0,3,NA,NA,NA,NA,NA,NA
"OAKLIMETER","Bwl",28,51,NA,NA,NA,"10YR","5","4"
"OKEECHOBEE","0a",20,71,NA,NA,NA,"5YR","2","1"
"OPENLAKE","Bgl",18,33,NA,NA,NA,"10YR","4","2"
"PETAL","Btl",20,43,NA,NA,NA,"5YR","5","8"
"PUNTA","A",0,10,NA,NA,NA,"l0YR","4",NA
"PUNTA","E1",10,28,NA,NA,NA,"l0YR","6","2"
"PUNTA","E2",28,145,NA,NA,NA,"l0YR","8",NA
"VERO","Al",0,18,NA,NA,NA,"10YR","2","1"
"VERO","Btgl",81,122,NA,NA,NA,"10YR","6","2"
"VERO","Cg1l",157,203,NA,NA,NA,"5GY","5","1"
"VICKSBURG","Cl",18,71,NA,NA,NA,"10YR","4","3"
"ZUBER","Btl",38,51,NA,NA,NA,"10YR","4","4"
