"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ADDIELOU","A",0,20,NA,NA,NA,"1OYR","5","3"
"ADDIELOU","E",20,71,NA,NA,NA,"1OYR","6","4"
"ADDIELOU","Bt",71,122,NA,NA,NA,"1OYR","5","6"
"ADDIELOU","Bt/E1",122,152,NA,NA,NA,"1OYR","5","6"
"ADDIELOU","Bt/E2",152,229,NA,NA,NA,"1OYR","6","1"
"ANGELINA","01",0,3,NA,NA,NA,NA,NA,NA
"ANGELINA","02",3,8,NA,NA,NA,NA,NA,NA
"ARNETT","Btl",18,28,"2.5YR","4","4","2.5YR","3","4"
"BIGFORK","Oi",1,0,NA,NA,NA,"10YR","2","2"
"BOCOX","Btl",84,132,"7.5YR","6","6","7.5YR","5","6"
"CAYO","Bknzl",48,71,"2.5Y","7","2","2.5Y","6","2"
"CRANELL","Btk",142,109,NA,NA,NA,"10YR","4","2"
"CROWLEY","Btgl",36,64,NA,NA,NA,"10YR","5","2"
"DALLARDSVILLE","E/Btl",53,79,NA,NA,NA,"7.5YR","7","3"
"DALLARDSVILLE","Btx/Egl",155,191,NA,NA,NA,"10YR","6","6"
"DECOBB","Btl",46,91,"5YR","4","4","5YR","3","4"
"DERBY","Al",0,23,"10YR","5","3","10YR","3","3"
"GAGEBY","Bwl",61,107,"5YR","5","6","5YR","4","6"
"GRAYROCK","Ap",0,18,"l0YR","5","2","l0YR","4","2"
"GRITER","Btl",18,41,"2.5YR","4","4","2.5YR","3","4"
"GRITER","BCtl",94,130,"5YR","6","6","5YR","5","6"
"GURDON","0",3,0,NA,NA,NA,NA,NA,NA
"HEARNE","C2",94,183,"l0YR","6","8",NA,NA,NA
"HEARNE","Bt1",NA,NA,"2.5YR","4","6","2.5YR","3","6"
"HEARNE","Bt2",NA,64,"2.5YR","5","6",NA,NA,NA
"HEARNE","C1",NA,94,"5YR","5","6",NA,NA,NA
"HIGHBANK","to",157,157,"5YR","4","3","5YR","3","3"
"KRADE","A",0,18,"1OYR","5","3","1OYR","4","3"
"MIDLAND","Btkssgl",81,107,NA,NA,NA,"10YR","5","1"
"MOLLVILLE","Oe",5,0,NA,NA,NA,"10YR","7","1"
"MOWATA","Btgl",56,86,NA,NA,NA,"10YR","5","2"
"NALDO","A",0,23,NA,NA,NA,"1OYR","4","2"
"NALDO","Bt1",41,102,NA,NA,NA,"1OYR","5","6"
"NALDO","Bt2",102,145,NA,NA,NA,"1OYR","6","4"
"NALDO","Bt3",145,183,NA,NA,NA,"1OYR","6","1"
"PALOBIA","2Btnl",23,36,"7.5YR","5","2","7.5YR","4","2"
"PALOBIA","2BCkncl",102,142,"2.5Y","7","4","2.5Y","6","4"
"ROARK","Btkl",61,86,"7.5YR","5","3","7.5YR","4","3"
"ROSANKY","Ap",NA,13,"lOYR","5","3","lOYR","4","3"
"RUPLE","Bsm/Btl",71,107,NA,NA,NA,"2.5YR","3","6"
"TASAJAL","2Btnl",30,48,"10YR","4","3","10YR","3","3"
"TOMAST","0",NA,0,NA,NA,NA,NA,NA,NA
"TURCOTTE","A1",0,13,"10YR","4","2","1OYR","3","2"
"TURCOTTE","A2",13,25,"1OYR","4","2","1OYR","3","2"
"TURCOTTE","Bk1",25,64,"1OYR","6","2","1OYR","5","2"
"TURCOTTE","Bk2",64,97,"1OYR","6","3","1OYR","5","3"
"TURCOTTE","BCk",97,203,"10YR","7","3","1OYR","6","3"
"WESTILL","Btl",13,38,"5YR","4","2","5YR","3","2"
"WESTILL","Btkssl",61,102,"5YR","4","4","5YR","3","4"
"YORKTOWN","0i",5,0,NA,NA,NA,"7.5YR","3","2"
"ZENORIA","Al",0,5,NA,NA,NA,"10YR","4","2"
