"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"CATHRO",1874297,FALSE,2022,FALSE,TRUE
"HOUDEK",739674,TRUE,2009,FALSE,TRUE
"CARBONDALE",521138,TRUE,2022,FALSE,TRUE
"THURMAN",461411,TRUE,2010,FALSE,TRUE
"TACOOSH",361438,FALSE,1998,FALSE,TRUE
"BOWSTRING",350080,FALSE,2006,FALSE,TRUE
"CONIC",326635,FALSE,2005,FALSE,TRUE
"ELBAVILLE",212343,FALSE,2000,FALSE,TRUE
"INSULA",195663,FALSE,2005,TRUE,TRUE
"MINOCQUA",178958,FALSE,1998,FALSE,TRUE
"BRENNYVILLE",130106,FALSE,2003,FALSE,TRUE
"LOBO",127544,FALSE,2022,FALSE,TRUE
"FORMDALE",110179,FALSE,2020,FALSE,TRUE
"KELVIN",108316,FALSE,2005,TRUE,FALSE
"DELMONT",106279,FALSE,2009,FALSE,TRUE
"PEMENE",102325,FALSE,2022,TRUE,FALSE
"JERAULD",98235,FALSE,1997,FALSE,TRUE
"INDUS",82630,TRUE,1997,TRUE,TRUE
"MERRILLAN",81480,FALSE,2001,FALSE,TRUE
"NADEAU",71300,FALSE,2022,TRUE,FALSE
"HIWOOD",68385,FALSE,1992,TRUE,FALSE
"BOTTINEAU",66115,FALSE,1999,FALSE,TRUE
"LIMINGA",56173,FALSE,2006,FALSE,TRUE
"WASKISH",55905,FALSE,2001,FALSE,TRUE
"KINGSLEY",53971,FALSE,1997,FALSE,TRUE
"NET",53162,FALSE,1998,TRUE,FALSE
"VANZILE",47345,FALSE,1997,FALSE,TRUE
"BRICKTON",46736,FALSE,2006,FALSE,TRUE
"MACMEAL",46206,FALSE,1997,TRUE,TRUE
"DALBO",36927,FALSE,2006,FALSE,TRUE
"PESHEKEE",31859,FALSE,1998,TRUE,FALSE
"MONDAMIN",28586,FALSE,1998,FALSE,TRUE
"KNOKE",28268,FALSE,2003,FALSE,TRUE
"ROLLA",27467,FALSE,1998,FALSE,TRUE
"POSEN",24880,FALSE,1999,TRUE,FALSE
"ROSY",23705,FALSE,1999,TRUE,FALSE
"SCHWEITZER",23144,FALSE,2006,TRUE,FALSE
"PETTICOAT",23085,FALSE,2003,TRUE,FALSE
"WATTON",22671,FALSE,2006,TRUE,FALSE
"CHANNING",22488,FALSE,1997,TRUE,FALSE
"OLDMAN",22397,FALSE,2002,TRUE,FALSE
"SUNDELL",22320,FALSE,2022,TRUE,FALSE
"METONGA",22231,FALSE,1997,FALSE,TRUE
"OLGA",21279,FALSE,1998,TRUE,FALSE
"CHIPPENY",21268,FALSE,2021,FALSE,TRUE
"GUARDLAKE",21100,FALSE,1994,TRUE,FALSE
"SUTLEY",17251,FALSE,1998,FALSE,TRUE
"WAMDUSKA",16223,FALSE,1997,TRUE,FALSE
"THISTLEDEW",13223,FALSE,1999,FALSE,TRUE
"BADUS",12878,FALSE,1999,TRUE,FALSE
"DEERTON",12352,FALSE,1994,FALSE,TRUE
"BOOTS",12346,FALSE,2022,FALSE,TRUE
"NUNICA",10023,FALSE,2022,TRUE,FALSE
"KALLIO",9936,FALSE,2003,TRUE,FALSE
"ROLETTE",9644,FALSE,1998,TRUE,TRUE
"NERESON",9242,FALSE,1998,TRUE,FALSE
"BERGKELLER",8621,FALSE,1999,TRUE,FALSE
"BEECHWOOD",8262,FALSE,1999,TRUE,FALSE
"SIECHE",8111,FALSE,2009,TRUE,FALSE
"METIGOSHE",6787,FALSE,1998,TRUE,TRUE
"SEDGEVILLE",6604,FALSE,2000,FALSE,TRUE
"PARTRIDGE",6430,FALSE,1989,TRUE,FALSE
"TINTSON",6245,FALSE,1995,FALSE,TRUE
"SATAGO",5597,FALSE,1999,TRUE,FALSE
"PULLUP",5234,FALSE,1994,TRUE,FALSE
"LAONA",5150,FALSE,1997,FALSE,TRUE
"CARGILL",5105,FALSE,1998,TRUE,FALSE
"BURT",4528,FALSE,1987,FALSE,TRUE
"TROUT BAY",4334,FALSE,2009,FALSE,TRUE
"BAYTOWN",3376,FALSE,2003,FALSE,TRUE
"VELVET",3361,FALSE,2022,TRUE,FALSE
"MCDAVITT",3247,FALSE,2009,FALSE,TRUE
"AU TRAIN",1581,FALSE,2009,FALSE,TRUE
"FREDA",703,FALSE,2003,TRUE,FALSE
"ROCKCUT",564,FALSE,2003,TRUE,FALSE
"FELDTMANN",148,FALSE,1990,TRUE,FALSE
"KAWBAWGAM",NA,FALSE,1999,TRUE,FALSE
"FINLAND",NA,FALSE,2000,TRUE,FALSE
