"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"AGUSTIN","Al",0,3,"7.5YR","5","4","7.5YR","4","4"
"AGUSTIN","Bkl",20,48,"7.5YR","5","4","7.5YR","4","4"
"AMOS","Clr",104,127,"10YR","6","4","5YR","5","6"
"AMOS","A1",NA,8,"10YR","5","3","10YR","4","3"
"BODECKER","Apl",0,3,"7.5YR","5","3","7.5YR","4","3"
"BORIANA","0i",0,5,"10YR","4","2","10YR","3","3"
"BROLLIAR","Al",3,8,"7.5YR","4","2","7.5YR","3","2"
"BURNSWICK","Bwl",8,28,"5YR","5","3","5YR","4","3"
"BURNSWICK","Bknl",41,74,"5YR","5","3","5YR","4","3"
"BUSHVALLEY","0i",0,3,NA,NA,NA,NA,NA,NA
"CAMBERN","0i",0,3,NA,NA,NA,NA,NA,NA
"CHILSON","0i",0,3,NA,NA,NA,NA,NA,NA
"DANDREA","0i",0,3,NA,NA,NA,NA,NA,NA
"ELLEDGE","0i",0,3,NA,NA,NA,NA,NA,NA
"ESS","0i",0,3,NA,NA,NA,NA,NA,NA
"FORREST","2Bkl",74,89,"5YR","6","6","5YR","5","6"
"GORDO","0i",0,3,NA,NA,NA,NA,NA,NA
"KAMATO","Btknzl",28,66,"5YR","5","4","5YR","4","4"
"KAMATO","An",NA,15,"10YR","6","4","10YR","4","4"
"LUNA","0i",0,1,NA,NA,NA,NA,NA,NA
"NAHA","Al",0,5,"10YR","6","4","10YR","5","4"
"NAHA","2Cl",69,147,"10YR","6","3","10YR","3","4"
"NAHA","Bw1",NA,NA,"10YR","5","4","10YR","4","4"
"NAHA","Bw",NA,69,"10YR","6","4","10YR","5","4"
"OVERGAARD","Btl",28,53,"7.5YR","5","4","7.5YR","4","4"
"REDUN","Bnzl",30,61,"7.5YR","5","6","7.5YR","4","4"
"SAL","Btzl",5,18,"5YR","5","6","5YR","4","6"
"SELEVIN","Al",0,5,"5YR","4","4","5YR","3","4"
"SELEVIN","2Bt2",NA,NA,"2.5YR","4","4","2.5YR","3","4"
"SELEVIN","2Btk",NA,58,"2.5YR","4","4","2.5YR","3","4"
"SIZER","0i",3,0,NA,NA,NA,NA,NA,NA
"SPONIKER","0i",0,3,NA,NA,NA,NA,NA,NA
"SPUDROCK","Oi",3,0,NA,NA,NA,NA,NA,NA
"VALENCIA","2Btkbl",71,99,"5YR","6","4","5YR","4","4"
"VALENCIA","2Bkbl",99,117,"5YR","6","4","5YR","5","4"
"VALENCIA","Bk",NA,71,"7.5YR","6","4","7.5YR","5","4"
"VALENCIA","2Btkb2",NA,99,"5YR","5","4","5YR","4","4"
"WHY","Bwl",5,23,"10YR","6","4","10YR","4","4"
"WILDCAT","0i",0,3,NA,NA,NA,NA,NA,NA
