"id","name","top","bottom","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma"
"ANDERGEORGE","Bkyl",56,107,"10YR","8","2","10YR","7","3"
"ANGOSTURA","0i",0,5,NA,NA,NA,NA,NA,NA
"ASPARAS","All",0,5,"l0YR","5","2","l0YR","3","2"
"ASPARAS","Al2",5,18,"l0YR","4","2","l0YR","3","2"
"ASPARAS","B2lt",18,61,"l0YR","4","3","10YR","3","3"
"ASPARAS","B22t",NA,61,"7.5YR","5","2","7.5YR","4","2"
"CEBOLLETA","Oi",3,0,NA,NA,NA,NA,NA,NA
"CHAMBERINO","Al",0,3,"10YR","6","3","10YR","4","3"
"CREST","0i",0,3,NA,NA,NA,NA,NA,NA
"CREST","0e",3,10,NA,NA,NA,NA,NA,NA
"CUNDIYO","El",0,15,"l0YR","6","3","l0YR","4","2"
"CUNDIYO","E2",15,86,"l0YR","6","3","l0YR","4","2"
"CUNDIYO","Bt2",86,117,"l0YR","6","4","l0YR","5","4"
"CUNDIYO","C",117,152,"l0YR","6","4","l0YR","5","4"
"CUNDIYO","Oi",NA,0,NA,NA,NA,NA,NA,NA
"CUNDIYO","Btl",NA,86,"l0YR","7","3","l0YR","4","3"
"MARA","Bw2",25,46,"l0YR","5","3","l0YR","4","3"
"MARA","Bk1",46,76,"l0YR","6","3","l0YR","4","3"
"MARA","Bk2",76,152,"l0YR","6","3","l0YR","5","3"
"MIRABAL","0e",0,3,NA,NA,NA,NA,NA,NA
"ORDNANCE","02",3,5,NA,NA,NA,NA,NA,NA
"OSORIDGE","Btl",5,15,"2.5YR","4","4","2.5YR","3","4"
"PIRODEL","Al",0,5,"7.5YR","6","4","7.5YR","4","4"
"PIRODEL","Bkl",23,74,"7.5YR","5","4","7.5YR","4","4"
"PIRODEL","Bk2",NA,74,"7.5YR","5","4","7.5YR","4","4"
"POLICH","Bkl",58,102,"7.5YR","4","3","7.5YR","3","3"
"POLICH","2BCkl",122,147,"5YR","5","4","5YR","3","4"
"PUICE","Al",0,5,"7.5YR","5","4","7.5YR","3","4"
"PUICE","Bkl",15,58,"10YR","8","2","l0YR","7","3"
"PUICE","Bk3",58,71,"l0YR","7","3","l0YR","5","3"
"PUICE","R",71,NA,NA,NA,NA,NA,NA,NA
"PUICE","Bk2",NA,58,"l0YR","7","2","l0YR","6","3"
"RANSECT","A",0,8,"l0YR","6","4","l0YR","4","4"
"RANSECT","Bkl",8,61,"l0YR","5","3","l0YR","3","3"
"RANSECT","Bk3",61,97,"l0YR","6","4","l0YR","5","4"
"RANSECT","2R",97,NA,NA,NA,NA,NA,NA,NA
"RANSECT","Bk2",NA,61,"l0YR","5","3","l0YR","4","3"
"RATON","Al",0,13,"10YR","3","2","10YR","2","2"
"RATONWEST","Oi",2,0,NA,NA,NA,NA,NA,NA
"RAYOHILL","Byl",3,64,"N","8","0","7.5YR","7","4"
"RAYOHILL","2R",91,NA,NA,NA,NA,NA,NA,NA
"RAYOHILL","By2",NA,64,"7.5YR","8","4","7.5YR","6","4"
"SANCHEZ","0i",0,5,NA,NA,NA,NA,NA,NA
"SAPELLO","A1",0,15,"1OYR","4","2","1OYR","3","2"
"SAPELLO","A2",15,25,"10YR","4","2","1OYR","3","2"
"SAPELLO","Bw1",25,40,"10YR","4","2","1OYR","3","2"
"SAPELLO","Bw2",40,93,"1OYR","5","2","1OYR","3","2"
"SAPELLO","Bk",93,152,"1OYR","4","2","1OYR","2","2"
"SUPERVISOR","0i",0,5,NA,NA,NA,NA,NA,NA
"TAMPICO","0i",0,3,NA,NA,NA,NA,NA,NA
"THURLONI","02",3,5,NA,NA,NA,NA,NA,NA
"YANKEE","Al",0,10,"10YR","4","2","10YR","3","2"
