"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"LUALUALEI",12604,TRUE,2000,FALSE,TRUE
"PULEHU",12123,FALSE,2001,TRUE,FALSE
"PUAULU",10807,FALSE,2008,FALSE,TRUE
"HONOMANU",9901,FALSE,2000,TRUE,TRUE
"KULA",7779,FALSE,2000,FALSE,TRUE
"HULUA",5769,FALSE,2001,TRUE,TRUE
"WAIALEALE",3699,FALSE,2001,TRUE,TRUE
"KAHANUI",2254,FALSE,2000,TRUE,FALSE
"KILAUEA",2050,FALSE,2008,FALSE,TRUE
"KOOLAU",1696,TRUE,2000,TRUE,TRUE
"OLOKUI",1299,FALSE,2001,TRUE,TRUE
"KEAAU",1289,FALSE,2000,TRUE,FALSE
