"id","ac","benchmarksoilflag","soiltaxclasslastupdated","depthErrors","ocrErrors"
"PHILLCHER",237831,FALSE,2008,FALSE,TRUE
"WALDBILLIG",209642,FALSE,2008,FALSE,TRUE
"HESPER",112052,FALSE,1998,FALSE,TRUE
"PETTY",99463,FALSE,2008,FALSE,TRUE
"LAMEDEER",77017,FALSE,1998,TRUE,FALSE
"DRYADINE",70786,FALSE,2008,FALSE,TRUE
"BEESKOVE",66770,FALSE,2004,FALSE,TRUE
"MOHAGGIN",62654,FALSE,2005,FALSE,TRUE
"SHARROTT",60922,FALSE,2008,FALSE,TRUE
"ELKNER",55262,FALSE,2008,FALSE,TRUE
"MACMEAL",46705,FALSE,1997,TRUE,TRUE
"UPSATA",45466,FALSE,2008,FALSE,TRUE
"QUIETUS",26429,FALSE,2005,FALSE,TRUE
"JIMLAKE",25740,FALSE,2008,FALSE,TRUE
"BROADUS",25491,FALSE,1998,TRUE,FALSE
"COEROCK",19986,FALSE,2004,FALSE,TRUE
"SHINEBERGER",19720,FALSE,2012,TRUE,FALSE
"LOLOPEAK",19087,FALSE,2008,FALSE,TRUE
"SWIFTON",17452,FALSE,2005,FALSE,TRUE
"PINEBREAKS",14828,FALSE,1999,TRUE,FALSE
"MOWBRAY",14550,FALSE,1998,TRUE,FALSE
"SKYVIEW",12821,FALSE,2005,TRUE,FALSE
"HAUGAN",12336,FALSE,2004,FALSE,TRUE
"ORAID",10513,FALSE,2014,FALSE,TRUE
"COLDCREEK",9816,FALSE,2004,FALSE,TRUE
"AUGGIE",8804,FALSE,1999,FALSE,TRUE
"RYORP",7832,FALSE,2008,FALSE,TRUE
"LANTERN",7553,FALSE,2005,FALSE,TRUE
"SELWAY",7474,FALSE,2005,FALSE,TRUE
"BELLTOWER",6723,FALSE,1998,TRUE,FALSE
"SHOOFLIN",6655,FALSE,2002,FALSE,TRUE
"MARCEL",5890,FALSE,2005,TRUE,FALSE
"CHICKAMAN",5648,FALSE,2004,FALSE,TRUE
"MCCAFFERY",5328,FALSE,2001,FALSE,TRUE
"CARGILL",5105,FALSE,1998,TRUE,FALSE
"SONYOK",2296,FALSE,1997,TRUE,FALSE
"FRANCONI",2134,FALSE,2004,TRUE,FALSE
"REPPART",2116,FALSE,2008,FALSE,TRUE
"TARKIO",1877,FALSE,2002,FALSE,TRUE
"HAGSTADT",1688,FALSE,2002,FALSE,TRUE
"YMARK",1506,FALSE,2005,TRUE,FALSE
"RELEEP",1429,FALSE,2005,TRUE,FALSE
"TAMELY",1064,FALSE,2008,FALSE,TRUE
"LANDUSKY",918,FALSE,2005,TRUE,FALSE
"WISHARD",725,FALSE,2005,FALSE,TRUE
"KOKORUDA",319,FALSE,2005,TRUE,FALSE
"DREXEL",273,FALSE,2004,FALSE,TRUE
"MILLPOCKET",197,FALSE,1997,TRUE,FALSE
"WOODSIDE",NA,FALSE,2013,TRUE,FALSE
"WESSEL",NA,FALSE,2002,TRUE,TRUE
"TRUEFISSURE",NA,FALSE,2005,FALSE,TRUE
"LOWERCREEK",NA,FALSE,2002,TRUE,TRUE
"BUCKHOUSE",NA,FALSE,2004,FALSE,TRUE
